cod_grupo_centro;desc_grupo_centro
2019-30304010101;EDUCAÇÃO SUPERIOR
2019-30304010301;EDUCAÇÃO SUPERIOR
2019-30304011101;EDUCAÇÃO SUPERIOR
2019-30305010101;EDUCAÇÃO EXECUTIVA
2019-30305010103;EDUCAÇÃO EXECUTIVA
2019-30306010101;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2019-30307010301;BIBLIOTECAS
2019-30307010302;BIBLIOTECAS
2019-30307010303;BIBLIOTECAS
2019-30307010306;BIBLIOTECAS
2019-30307010801;BIBLIOTECAS
2019-30311010101;T&D
2019-30311010102;T&D
2019-30311010103;T&D
2019-30311010104;T&D
2019-30311010105;T&D
2019-30311010106;T&D
2019-30311010107;T&D
2020-30301010201;ESCOLA
2020-30301020101;ESCOLA
2020-30301020201;ESCOLA
2020-30301030101;ESCOLA
2020-30301030102;ESCOLA
2020-30301030201;ESCOLA
2020-30302010101;EDUCAÇÃO CONTINUADA
2020-30302010102;EDUCAÇÃO CONTINUADA
2020-30302010301;EDUCAÇÃO CONTINUADA
2020-30302010401;EDUCAÇÃO CONTINUADA
2020-30302010402;EDUCAÇÃO CONTINUADA
2020-30302010501;EDUCAÇÃO CONTINUADA
2020-30302020101;EDUCAÇÃO CONTINUADA
2020-30302020201;EDUCAÇÃO CONTINUADA
2020-30302020301;EDUCAÇÃO CONTINUADA
2020-30302020401;EDUCAÇÃO CONTINUADA
2020-30304010101;EDUCAÇÃO SUPERIOR
2020-30304010301;EDUCAÇÃO SUPERIOR
2020-30304010601;EDUCAÇÃO SUPERIOR
2020-30304011101;EDUCAÇÃO SUPERIOR
2020-30305010101;EDUCAÇÃO EXECUTIVA
2020-30305010103;EDUCAÇÃO EXECUTIVA
2020-30306010101;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2020-30307010301;BIBLIOTECAS
2020-30307010302;BIBLIOTECAS
2020-30307010303;BIBLIOTECAS
2020-30307010306;BIBLIOTECAS
2020-30307010801;BIBLIOTECAS
2020-30311010101;T&D
2020-30311010102;T&D
2020-30311010104;T&D
2020-30311010105;T&D
2020-30311010106;T&D
2020-30311010107;T&D
2021-30301010201;ESCOLA
2021-30301020101;ESCOLA
2021-30301020201;ESCOLA
2021-30301030101;ESCOLA
2021-30301030102;ESCOLA
2021-30301030190;ESCOLA
2021-30301030201;ESCOLA
2021-30302010101;EDUCAÇÃO CONTINUADA
2021-30302010102;EDUCAÇÃO CONTINUADA
2021-30302010401;EDUCAÇÃO CONTINUADA
2021-30302020201;EDUCAÇÃO CONTINUADA
2021-30302020401;EDUCAÇÃO CONTINUADA
2021-30304010101;EDUCAÇÃO SUPERIOR
2021-30304010301;EDUCAÇÃO SUPERIOR
2021-30304010601;EDUCAÇÃO SUPERIOR
2021-30305010101;EDUCAÇÃO EXECUTIVA
2021-30306010101;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2021-30307010301;BIBLIOTECAS
2021-30307010302;BIBLIOTECAS
2021-30307010303;BIBLIOTECAS
2021-30307010306;BIBLIOTECAS
2021-30307010801;BIBLIOTECAS
2021-30311010101;T&D
2021-30311010102;T&D
2021-30311010104;T&D
2021-30311010105;T&D
2021-30311010106;T&D
2021-30311010107;T&D
2017-30201010201;SERVICOS OPERACIONAIS
2017-30201010202;SERVICOS OPERACIONAIS
2017-30201020101;CONSULTORIA EM GESTAO EMPRESARIAL
2017-30201020102;CONSULTORIA EM GESTAO EMPRESARIAL
2017-30201020104;CONSULTORIA EM GESTAO EMPRESARIAL
2017-30201020107;CONSULTORIA EM GESTAO EMPRESARIAL
2017-30201020108;CONSULTORIA EM GESTAO EMPRESARIAL
2017-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020204;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020206;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020207;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020208;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020209;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020210;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020211;CONSULTORIA EM PROCESSO PRODUTIVO
2017-30201020401;CONSULT. ATEND.A NORMAS E LEGISLACOES
2017-30201030102;ELABORACAO E DISSEMINACAO DE INFORMACOES
2017-30201050101;ENSAIOS
2017-30202010101;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010102;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010103;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010107;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010108;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010109;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010110;PEQUISA, DESENV E INOVACAO DE PRODUTO
2017-30202010201;PEQUISA, DESENV E INOVACAO DE PROCESSO
2017-30202010208;PEQUISA, DESENV E INOVACAO DE PROCESSO
2017-30210010101;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010102;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010103;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010104;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010106;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010107;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010108;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010110;GESTAO DA TECNOLOGIA E INOVACAO
2017-30210010190;GESTAO DA TECNOLOGIA E INOVACAO
2017-30211010101;ETD DA TECNOLOGIA E INOVACAO
2017-30211010102;ETD DA TECNOLOGIA E INOVACAO
2018-30201020101;CONSULTORIA EM GESTÃO EMPRESARIAL
2018-30201020102;CONSULTORIA EM GESTÃO EMPRESARIAL
2018-30201020107;CONSULTORIA EM GESTÃO EMPRESARIAL
2018-30201020108;CONSULTORIA EM GESTÃO EMPRESARIAL
2018-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020204;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020206;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020207;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020208;CONSULTORIA EM PROCESSO PRODUTIVO
2018-30201020401;CONSULTORIA PARA ATENDIMENTO A LEGISLAÇÕ
2018-30201050101;ENSAIOS
2018-30210010101;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010102;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010103;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010104;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010107;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010110;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30210010111;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2018-30211010101;ETD DA TECNOLOGIA E INOVAÇÃO
2018-30211010102;ETD DA TECNOLOGIA E INOVAÇÃO
2019-30201020101;CONSULTORIA EM GESTÃO EMPRESARIAL
2019-30201020102;CONSULTORIA EM GESTÃO EMPRESARIAL
2019-30201020107;CONSULTORIA EM GESTÃO EMPRESARIAL
2019-30201020108;CONSULTORIA EM GESTÃO EMPRESARIAL
2019-30201020201;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020202;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020204;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020206;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020207;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020208;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020209;CONSULTORIA EM PROCESSO PRODUTIVO
2019-30201020401;CONSULTORIA PARA ATENDIMENTO A LEGISLAÇÕ
2019-30201050101;ENSAIOS
2019-30210010102;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010103;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010104;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010107;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010110;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010111;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30210010112;GESTÃO DA TECNOLOGIA E INOVAÇÃO
2019-30211010101;ETD DA TECNOLOGIA E INOVAÇÃO
2019-30211010102;ETD DA TECNOLOGIA E INOVAÇÃO
2020-30201020101;CONSULTORIA EM GESTÃO EMPRESARIAL
2020-30201020107;CONSULTORIA EM GESTÃO EMPRESARIAL
